Class,Precision,Recall,F1-Score
C,0.7501733703190014,0.7370961330986315,0.7435772590577115
B,0.5381679389312977,0.49343832020997375,0.5148334094020995
E,0.8894166294143943,0.901200317064885,0.8952697002081107
G,0.6865717821782178,0.7232724902216427,0.7044444444444444
I,0.04186046511627907,0.6,0.0782608695652174
H,0.9243008126979282,0.9378266424064109,0.9310146041506533
S,0.6619526788142508,0.5957655121772121,0.6271175523349436
T,0.6873672499241428,0.6903697683868346,0.6888652374436166
Average,0.647476365924439,0.7098711479456988,0.6479228845758496
